"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
268,18 Mar 2000 04:13:25.548,18 Mar 2000 05:50:00.985,5795.438
269,18 Mar 2000 10:04:27.793,18 Mar 2000 12:22:25.114,8277.321
270,18 Mar 2000 18:04:21.537,18 Mar 2000 20:32:25.988,8884.450
271,19 Mar 2000 01:13:32.874,19 Mar 2000 03:06:06.746,6753.872
272,19 Mar 2000 07:06:41.107,19 Mar 2000 09:03:15.936,6994.829
273,19 Mar 2000 13:51:00.283,19 Mar 2000 16:20:39.039,8978.756
274,19 Mar 2000 21:56:31.152,20 Mar 2000 00:12:00.487,8129.335
275,20 Mar 2000 04:23:14.975,20 Mar 2000 06:00:11.474,5816.499
276,20 Mar 2000 10:17:00.400,20 Mar 2000 12:36:29.705,8369.304
277,20 Mar 2000 18:21:33.556,20 Mar 2000 20:48:36.959,8823.403
278,21 Mar 2000 01:25:40.349,21 Mar 2000 03:15:28.542,6588.193
279,21 Mar 2000 07:16:27.915,21 Mar 2000 09:15:50.150,7162.235
280,21 Mar 2000 14:08:51.839,21 Mar 2000 16:39:38.608,9046.769
281,21 Mar 2000 22:10:09.020,22 Mar 2000 00:23:42.912,8013.892
282,22 Mar 2000 04:32:51.672,22 Mar 2000 06:10:37.911,5866.239
283,22 Mar 2000 10:29:55.077,22 Mar 2000 12:50:47.495,8452.418
284,22 Mar 2000 18:38:06.605,22 Mar 2000 21:04:11.807,8765.202
285,23 Mar 2000 01:37:35.389,23 Mar 2000 03:24:44.084,6428.695
286,23 Mar 2000 07:26:28.311,23 Mar 2000 09:28:34.222,7325.911
287,23 Mar 2000 14:27:27.198,23 Mar 2000 16:59:15.513,9108.315
288,23 Mar 2000 22:23:37.261,24 Mar 2000 00:35:05.868,7888.608
289,24 Mar 2000 04:42:17.854,24 Mar 2000 06:21:20.681,5942.827
290,24 Mar 2000 10:43:12.902,24 Mar 2000 13:05:20.399,8527.497
291,24 Mar 2000 18:54:06.125,24 Mar 2000 21:19:13.680,8707.554
292,25 Mar 2000 01:49:17.053,25 Mar 2000 03:33:56.120,6279.067
293,25 Mar 2000 07:36:43.785,25 Mar 2000 09:41:27.700,7483.916
294,25 Mar 2000 14:46:43.045,25 Mar 2000 17:19:14.703,9151.658
295,25 Mar 2000 22:36:56.302,26 Mar 2000 00:46:10.032,7753.730
296,26 Mar 2000 04:51:36.159,26 Mar 2000 06:32:19.686,6043.527
297,26 Mar 2000 10:56:55.214,26 Mar 2000 13:20:10.860,8595.647
298,26 Mar 2000 19:09:37.323,26 Mar 2000 21:33:45.378,8648.055
299,27 Mar 2000 02:00:44.400,27 Mar 2000 03:43:07.596,6143.196
300,27 Mar 2000 07:47:15.569,27 Mar 2000 09:54:30.280,7634.711
301,27 Mar 2000 15:06:30.118,27 Mar 2000 17:39:15.762,9165.644
302,27 Mar 2000 22:50:06.345,28 Mar 2000 00:56:56.157,7609.812
303,28 Mar 2000 05:00:49.468,28 Mar 2000 06:43:34.473,6165.005
304,28 Mar 2000 11:11:03.656,28 Mar 2000 13:35:21.985,8658.329
305,28 Mar 2000 19:24:44.709,28 Mar 2000 21:47:49.280,8584.571
306,29 Mar 2000 02:11:56.568,29 Mar 2000 03:52:21.541,6024.973
307,29 Mar 2000 07:58:04.681,29 Mar 2000 10:07:41.839,7777.158
308,29 Mar 2000 15:26:32.364,29 Mar 2000 17:58:58.506,9146.143
309,29 Mar 2000 23:03:07.405,30 Mar 2000 01:07:25.110,7457.705
310,30 Mar 2000 05:10:00.825,30 Mar 2000 06:55:04.297,6303.472
311,30 Mar 2000 11:25:40.273,30 Mar 2000 13:50:57.627,8717.355
312,30 Mar 2000 19:39:32.006,30 Mar 2000 22:01:27.347,8515.341
313,31 Mar 2000 02:22:52.855,31 Mar 2000 04:01:40.974,5928.120
314,31 Mar 2000 08:09:11.969,31 Mar 2000 10:21:02.416,7910.447
315,31 Mar 2000 15:46:29.133,31 Mar 2000 18:18:07.981,9098.848
316,31 Mar 2000 23:15:59.321,1 Apr 2000 01:17:37.942,7298.622
317,1 Apr 2000 05:19:13.252,1 Apr 2000 07:06:48.291,6455.038
318,1 Apr 2000 11:40:47.505,1 Apr 2000 12:00:00.000,1152.495

Statistics
"Min Duration",318,1 Apr 2000 11:40:47.505,1 Apr 2000 12:00:00.000,1152.495
"Max Duration",301,27 Mar 2000 15:06:30.118,27 Mar 2000 17:39:15.762,9165.644
"Mean Duration",,,,7675.737
"Total Duration",,,,2440884.218


