"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
285,11 Feb 2000 16:55:56.880,11 Feb 2000 17:07:28.183,691.304
286,12 Feb 2000 06:36:11.094,12 Feb 2000 06:46:08.568,597.474
287,12 Feb 2000 08:22:17.469,12 Feb 2000 08:35:27.267,789.798
288,12 Feb 2000 10:11:58.531,12 Feb 2000 10:24:06.561,728.030
289,12 Feb 2000 12:02:38.571,12 Feb 2000 12:13:48.306,669.735
290,12 Feb 2000 13:52:03.857,12 Feb 2000 14:04:30.548,746.691
291,12 Feb 2000 15:40:40.903,12 Feb 2000 15:53:43.188,782.285
292,12 Feb 2000 17:30:31.695,12 Feb 2000 17:38:43.478,491.782
293,13 Feb 2000 07:08:04.842,13 Feb 2000 07:20:20.128,735.285
294,13 Feb 2000 08:56:05.707,13 Feb 2000 09:09:03.754,778.047
295,13 Feb 2000 10:46:33.877,13 Feb 2000 10:58:01.244,687.367
296,13 Feb 2000 12:36:48.772,13 Feb 2000 12:48:21.265,692.493
297,13 Feb 2000 14:25:42.452,13 Feb 2000 14:38:44.391,781.939
298,13 Feb 2000 16:14:29.040,13 Feb 2000 16:26:30.560,721.520
299,14 Feb 2000 05:55:34.061,14 Feb 2000 06:04:28.459,534.398
300,14 Feb 2000 07:40:59.884,14 Feb 2000 07:54:05.858,785.973
301,14 Feb 2000 09:30:23.172,14 Feb 2000 09:42:43.316,740.144
302,14 Feb 2000 11:21:05.300,14 Feb 2000 11:32:14.333,669.033
303,14 Feb 2000 13:10:41.074,14 Feb 2000 13:22:55.814,734.740
304,14 Feb 2000 14:59:19.188,14 Feb 2000 15:12:27.317,788.129
305,14 Feb 2000 16:48:47.453,14 Feb 2000 16:58:12.081,564.628
306,15 Feb 2000 06:27:04.601,15 Feb 2000 06:38:53.466,708.865
307,15 Feb 2000 08:14:38.317,15 Feb 2000 08:27:42.941,784.624
308,15 Feb 2000 10:04:56.807,15 Feb 2000 10:16:33.801,696.994
309,15 Feb 2000 11:55:20.713,15 Feb 2000 12:06:44.296,683.584
310,15 Feb 2000 13:44:21.552,15 Feb 2000 13:57:16.008,774.456
311,15 Feb 2000 15:33:03.217,15 Feb 2000 15:45:28.313,745.097
312,16 Feb 2000 05:15:08.217,16 Feb 2000 05:22:39.888,451.671
313,16 Feb 2000 06:59:45.452,16 Feb 2000 07:12:43.849,778.396
314,16 Feb 2000 08:48:49.016,16 Feb 2000 09:01:20.880,751.864
315,16 Feb 2000 10:39:30.794,16 Feb 2000 10:50:41.657,670.863
316,16 Feb 2000 12:29:17.421,16 Feb 2000 12:41:20.013,722.592
317,16 Feb 2000 14:17:57.978,16 Feb 2000 14:31:08.389,790.411
318,16 Feb 2000 16:07:10.033,16 Feb 2000 16:17:31.161,621.129
319,17 Feb 2000 05:46:09.246,17 Feb 2000 05:57:24.528,675.282
320,17 Feb 2000 07:33:13.305,17 Feb 2000 07:46:22.192,788.887
321,17 Feb 2000 09:23:19.759,17 Feb 2000 09:35:07.660,707.901
322,17 Feb 2000 11:13:51.233,17 Feb 2000 11:25:07.779,676.546
323,17 Feb 2000 13:03:00.355,17 Feb 2000 13:15:45.569,765.214
324,17 Feb 2000 14:51:38.944,17 Feb 2000 15:04:21.925,762.980
325,17 Feb 2000 16:42:39.206,17 Feb 2000 16:47:35.167,295.961
326,18 Feb 2000 04:35:01.083,18 Feb 2000 04:40:35.386,334.303
327,18 Feb 2000 06:18:34.428,18 Feb 2000 06:31:21.002,766.574
328,18 Feb 2000 08:07:16.354,18 Feb 2000 08:19:59.092,762.737
329,18 Feb 2000 09:57:55.240,18 Feb 2000 10:09:10.392,675.153
330,18 Feb 2000 11:47:52.741,18 Feb 2000 11:59:43.449,710.708
331,18 Feb 2000 13:36:37.091,18 Feb 2000 13:49:46.626,789.534
332,18 Feb 2000 15:25:37.166,18 Feb 2000 15:36:43.014,665.848
333,19 Feb 2000 05:05:19.560,19 Feb 2000 05:15:52.558,632.998
334,19 Feb 2000 06:51:50.878,19 Feb 2000 07:05:01.355,790.477
335,19 Feb 2000 08:41:43.063,19 Feb 2000 08:53:42.715,719.653
336,19 Feb 2000 10:32:20.314,19 Feb 2000 10:43:32.008,671.694
337,19 Feb 2000 12:21:38.703,19 Feb 2000 12:34:13.313,754.610
338,19 Feb 2000 14:10:15.856,19 Feb 2000 14:23:11.772,775.917
339,19 Feb 2000 16:00:28.103,19 Feb 2000 16:07:35.317,427.214
340,20 Feb 2000 03:55:58.177,20 Feb 2000 03:57:29.495,91.318
341,20 Feb 2000 05:37:27.094,20 Feb 2000 05:49:57.044,749.951
342,20 Feb 2000 07:25:45.449,20 Feb 2000 07:38:37.799,772.351
343,20 Feb 2000 09:16:18.877,20 Feb 2000 09:27:40.562,681.684
344,20 Feb 2000 11:06:26.904,20 Feb 2000 11:18:06.459,699.555
345,20 Feb 2000 12:55:16.337,20 Feb 2000 13:08:22.225,785.888
346,20 Feb 2000 14:44:07.574,20 Feb 2000 14:55:48.958,701.385
